0580041,北海道,浦河郡浦河町,東幌別,ホッカイドウ,ウラカワグンウラカワチョウ,ヒガシホロベツ(ソノタ)
0580000,北海道,様似郡様似町,,ホッカイドウ,サマニグンサマニチョウ,
0580001,北海道,様似郡様似町,旭,ホッカイドウ,サマニグンサマニチョウ,アサヒ
0580012,北海道,様似郡様似町,朝日丘,ホッカイドウ,サマニグンサマニチョウ,アサヒオカ
0580033,北海道,様似郡様似町,鵜苫,ホッカイドウ,サマニグンサマニチョウ,ウトマ
0580014,北海道,様似郡様似町,大通,ホッカイドウ,サマニグンサマニチョウ,オオドオリ
0580022,北海道,様似郡様似町,岡田,ホッカイドウ,サマニグンサマニチョウ,オカダ
0580024,北海道,様似郡様似町,会所町,ホッカイドウ,サマニグンサマニチョウ,カイショマチ
0580023,北海道,様似郡様似町,栄町,ホッカイドウ,サマニグンサマニチョウ,サカエマチ
0580027,北海道,様似郡様似町,潮見台,ホッカイドウ,サマニグンサマニチョウ,シオミダイ
0580021,北海道,様似郡様似町,新富,ホッカイドウ,サマニグンサマニチョウ,シントミ
0580011,北海道,様似郡様似町,田代,ホッカイドウ,サマニグンサマニチョウ,タシロ
0580015,北海道,様似郡様似町,錦町,ホッカイドウ,サマニグンサマニチョウ,ニシキマチ
0580031,北海道,様似郡様似町,西様似,ホッカイドウ,サマニグンサマニチョウ,ニシサマニ
0580032,北海道,様似郡様似町,西町,ホッカイドウ,サマニグンサマニチョウ,ニシマチ
0580004,北海道,様似郡様似町,平宇,ホッカイドウ,サマニグンサマニチョウ,ヒラウ
0580003,北海道,様似郡様似町,冬島,ホッカイドウ,サマニグンサマニチョウ,フユシマ
0580002,北海道,様似郡様似町,幌満,ホッカイドウ,サマニグンサマニチョウ,ホロマン
0580026,北海道,様似郡様似町,本町,ホッカイドウ,サマニグンサマニチョウ,ホンチョウ
0580013,北海道,様似郡様似町,緑町,ホッカイドウ,サマニグンサマニチョウ,ミドリマチ
0580025,北海道,様似郡様似町,港町,ホッカイドウ,サマニグンサマニチョウ,ミナトマチ
0580200,北海道,幌泉郡えりも町,,ホッカイドウ,ホロイズミグンエリモチョウ,
0580202,北海道,幌泉郡えりも町,歌別,ホッカイドウ,ホロイズミグンエリモチョウ,ウタベツ
0580342,北海道,幌泉郡えりも町,えりも岬,ホッカイドウ,ホロイズミグンエリモチョウ,エリモミサキ
0580421,北海道,幌泉郡えりも町,庶野,ホッカイドウ,ホロイズミグンエリモチョウ,ショヤ
0580203,北海道,幌泉郡えりも町,新浜,ホッカイドウ,ホロイズミグンエリモチョウ,シンハマ
0580207,北海道,幌泉郡えりも町,近浦,ホッカイドウ,ホロイズミグンエリモチョウ,チカウラ
0580343,北海道,幌泉郡えりも町,東洋,ホッカイドウ,ホロイズミグンエリモチョウ,トウヨウ(アブラコマ、ミナミトウヨウ、132-156、158-354、366、367バンチ)
0580201,北海道,幌泉郡えりも町,東洋,ホッカイドウ,ホロイズミグンエリモチョウ,トウヨウ(ウタロ、サカギシ、エンドモ、エンドマカゲ)
0580341,北海道,幌泉郡えりも町,苫別,ホッカイドウ,ホロイズミグンエリモチョウ,トマベツ
0580206,北海道,幌泉郡えりも町,笛舞,ホッカイドウ,ホロイズミグンエリモチョウ,フエマイ
0580204,北海道,幌泉郡えりも町,本町,ホッカイドウ,ホロイズミグンエリモチョウ,ホンチョウ
0580422,北海道,幌泉郡えりも町,目黒,ホッカイドウ,ホロイズミグンエリモチョウ,メグロ
0580205,北海道,幌泉郡えりも町,大和,ホッカイドウ,ホロイズミグンエリモチョウ,ヤマト
0588501,北海道,様似郡様似町,大通１丁目２１番地,ホッカイドウ,サマニグンサマニチョウ,オオドオリ
0580292,北海道,幌泉郡えりも町,字本町２０６番地,ホッカイドウ,ホロイズミグンエリモチョウ,
