3491221,栃木県,栃木市,藤岡町下宮,トチギケン,トチギシ,フジオカマチシタミヤ
3491144,埼玉県,加須市,阿佐間,サイタマケン,カゾシ,アザマ
3491146,埼玉県,加須市,新井新田,サイタマケン,カゾシ,アライシンデン
3491211,埼玉県,加須市,飯積,サイタマケン,カゾシ,イイヅミ
3491215,埼玉県,加須市,伊賀袋,サイタマケン,カゾシ,イガフクロ
3491143,埼玉県,加須市,生出,サイタマケン,カゾシ,オイデ
3491202,埼玉県,加須市,小野袋,サイタマケン,カゾシ,オノフクロ
3491203,埼玉県,加須市,柏戸,サイタマケン,カゾシ,カシワド
3491147,埼玉県,加須市,北大桑,サイタマケン,カゾシ,キタオオクワ
3491134,埼玉県,加須市,北下新井,サイタマケン,カゾシ,キタシモアライ
3491135,埼玉県,加須市,北平野,サイタマケン,カゾシ,キタヒラノ
3491154,埼玉県,加須市,外記新田,サイタマケン,カゾシ,ゲキシンデン
3491133,埼玉県,加須市,琴寄,サイタマケン,カゾシ,コトヨリ
3491214,埼玉県,加須市,駒場,サイタマケン,カゾシ,コマバ
3491213,埼玉県,加須市,栄,サイタマケン,カゾシ,サカエ
3491151,埼玉県,加須市,佐波,サイタマケン,カゾシ,ザワ
3491142,埼玉県,加須市,杓子木,サイタマケン,カゾシ,シャクシギ
3491153,埼玉県,加須市,新川通,サイタマケン,カゾシ,シンカワドオリ
3491158,埼玉県,加須市,新利根,サイタマケン,カゾシ,シントネ
3491155,埼玉県,加須市,砂原,サイタマケン,カゾシ,スナハラ
3491157,埼玉県,加須市,道目,サイタマケン,カゾシ,ドウメ
3491148,埼玉県,加須市,豊野台,サイタマケン,カゾシ,トヨノダイ
3491131,埼玉県,加須市,中渡,サイタマケン,カゾシ,ナカワタ
3491132,埼玉県,加須市,旗井,サイタマケン,カゾシ,ハタイ
3491156,埼玉県,加須市,細間,サイタマケン,カゾシ,ホソマ
3491216,埼玉県,加須市,本郷,サイタマケン,カゾシ,ホンゴウ
3491145,埼玉県,加須市,間口,サイタマケン,カゾシ,マクチ
3491141,埼玉県,加須市,松永新田,サイタマケン,カゾシ,マツナガシンデン
3491205,埼玉県,加須市,向古河,サイタマケン,カゾシ,ムカイコガ
3491212,埼玉県,加須市,麦倉,サイタマケン,カゾシ,ムギクラ
3491201,埼玉県,加須市,柳生,サイタマケン,カゾシ,ヤギュウ
3491152,埼玉県,加須市,弥兵衛,サイタマケン,カゾシ,ヤヘエ
3491204,埼玉県,加須市,陽光台,サイタマケン,カゾシ,ヨウコウダイ
3491115,埼玉県,久喜市,新井,サイタマケン,クキシ,アライ
3491121,埼玉県,久喜市,伊坂,サイタマケン,クキシ,イサカ
3491126,埼玉県,久喜市,伊坂北,サイタマケン,クキシ,イサカキタ
3491127,埼玉県,久喜市,伊坂中央,サイタマケン,クキシ,イサカチュウオウ
3491128,埼玉県,久喜市,伊坂南,サイタマケン,クキシ,イサカミナミ
