3840097,群馬県,吾妻郡嬬恋村,鎌原,グンマケン,アガツマグンツマゴイムラ,カンバラ(タカミネコウゲン)
3840000,長野県,小諸市,,ナガノケン,コモロシ,
3840025,長野県,小諸市,相生町,ナガノケン,コモロシ,アイオイチョウ
3840011,長野県,小諸市,赤坂,ナガノケン,コモロシ,アカサカ
3840021,長野県,小諸市,天池,ナガノケン,コモロシ,アマイケ
3840062,長野県,小諸市,荒堀,ナガノケン,コモロシ,アラホリ
3840014,長野県,小諸市,荒町,ナガノケン,コモロシ,アラマチ
3840096,長野県,小諸市,池ノ前,ナガノケン,コモロシ,イケノマエ
3840047,長野県,小諸市,井子,ナガノケン,コモロシ,イコ
3840054,長野県,小諸市,石峠,ナガノケン,コモロシ,イシトウゲ
3840083,長野県,小諸市,市,ナガノケン,コモロシ,イチ
3840033,長野県,小諸市,市町,ナガノケン,コモロシ,イチマチ
3840075,長野県,小諸市,上ノ平,ナガノケン,コモロシ,ウエノダイラ
3840042,長野県,小諸市,後平,ナガノケン,コモロシ,ウシロダイラ
3840077,長野県,小諸市,大杭,ナガノケン,コモロシ,オオクイ
3840071,長野県,小諸市,大久保,ナガノケン,コモロシ,オオクボ
3840031,長野県,小諸市,大手,ナガノケン,コモロシ,オオテ
3840037,長野県,小諸市,押出,ナガノケン,コモロシ,オシダシ
3840802,長野県,小諸市,乙,ナガノケン,コモロシ,オツ
3840004,長野県,小諸市,乙女,ナガノケン,コモロシ,オトメ
3840055,長野県,小諸市,柏木,ナガノケン,コモロシ,カシワギ
3840061,長野県,小諸市,加増,ナガノケン,コモロシ,カマス
3840002,長野県,小諸市,唐松,ナガノケン,コモロシ,カラマツ
3840805,長野県,小諸市,己,ナガノケン,コモロシ,キ
3840076,長野県,小諸市,久保,ナガノケン,コモロシ,クボ
3840024,長野県,小諸市,熊ノ堂,ナガノケン,コモロシ,クマノドウ
3840801,長野県,小諸市,甲,ナガノケン,コモロシ,コウ
3840032,長野県,小諸市,古城,ナガノケン,コモロシ,コジョウ
3840001,長野県,小諸市,小原,ナガノケン,コモロシ,コバラ
3840015,長野県,小諸市,紺屋町,ナガノケン,コモロシ,コンヤマチ
3840018,長野県,小諸市,坂ノ上,ナガノケン,コモロシ,サカノウエ
3840806,長野県,小諸市,塩野,ナガノケン,コモロシ,シオノ
3840809,長野県,小諸市,滋野甲,ナガノケン,コモロシ,シゲノコウ
3840023,長野県,小諸市,東雲,ナガノケン,コモロシ,シノノメ
3840046,長野県,小諸市,芝生田,ナガノケン,コモロシ,シボウタ
3840034,長野県,小諸市,新町,ナガノケン,コモロシ,シンマチ
3840082,長野県,小諸市,諏訪山,ナガノケン,コモロシ,スワヤマ
3840045,長野県,小諸市,滝原,ナガノケン,コモロシ,タキバラ
3840028,長野県,小諸市,田町,ナガノケン,コモロシ,タマチ
3840007,長野県,小諸市,鶴巻,ナガノケン,コモロシ,ツルマキ
3840804,長野県,小諸市,丁,ナガノケン,コモロシ,テイ
3840072,長野県,小諸市,鴇久保,ナガノケン,コモロシ,トキクボ
3840038,長野県,小諸市,栃木,ナガノケン,コモロシ,トチギ
3840074,長野県,小諸市,西浦,ナガノケン,コモロシ,ニシウラ
3840044,長野県,小諸市,西原,ナガノケン,コモロシ,ニシバラ
3840048,長野県,小諸市,糠地,ナガノケン,コモロシ,ヌカチ
3840064,長野県,小諸市,乗瀬,ナガノケン,コモロシ,ノリセ
3840051,長野県,小諸市,八満,ナガノケン,コモロシ,ハチマン
3840016,長野県,小諸市,八幡町,ナガノケン,コモロシ,ハチマンチョウ
3840052,長野県,小諸市,東区,ナガノケン,コモロシ,ヒガシク
3840008,長野県,小諸市,東小諸,ナガノケン,コモロシ,ヒガシコモロ
3840003,長野県,小諸市,東山,ナガノケン,コモロシ,ヒガシヤマ
3840041,長野県,小諸市,菱平,ナガノケン,コモロシ,ヒシダイラ
3840094,長野県,小諸市,一ツ谷,ナガノケン,コモロシ,ヒトツヤ
3840065,長野県,小諸市,ひばりケ丘,ナガノケン,コモロシ,ヒバリガオカ
3840092,長野県,小諸市,平原,ナガノケン,コモロシ,ヒラハラ
3840053,長野県,小諸市,藤塚,ナガノケン,コモロシ,フジツカ
3840036,長野県,小諸市,富士見平,ナガノケン,コモロシ,フジミダイラ
3840803,長野県,小諸市,丙,ナガノケン,コモロシ,ヘイ
3840026,長野県,小諸市,本町,ナガノケン,コモロシ,ホンマチ
3840022,長野県,小諸市,松井,ナガノケン,コモロシ,マツイ
3840091,長野県,小諸市,御影,ナガノケン,コモロシ,ミカゲ
