3890121,群馬県,安中市,松井田町峠,グンマケン,アンナカシ,マツイダマチトウゲ
3892261,新潟県,妙高市,樽本,ニイガタケン,ミョウコウシ,タルモト(1101バンチ)
3891104,長野県,長野市,豊野町浅野,ナガノケン,ナガノシ,トヨノマチアサノ
3891106,長野県,長野市,豊野町石,ナガノケン,ナガノシ,トヨノマチイシ
3891102,長野県,長野市,豊野町大倉,ナガノケン,ナガノシ,トヨノマチオオクラ
3891103,長野県,長野市,豊野町蟹沢,ナガノケン,ナガノシ,トヨノマチカニサワ
3891101,長野県,長野市,豊野町川谷,ナガノケン,ナガノシ,トヨノマチカワタニ
3891105,長野県,長野市,豊野町豊野,ナガノケン,ナガノシ,トヨノマチトヨノ
3891107,長野県,長野市,豊野町南郷,ナガノケン,ナガノシ,トヨノマチミナミゴウ
3892103,長野県,中野市,穴田,ナガノケン,ナカノシ,アナダ
3892102,長野県,中野市,上今井,ナガノケン,ナカノシ,カミイマイ
3892371,長野県,中野市,田上,ナガノケン,ナカノシ,タガミ(1300-2511バンチ)
3892101,長野県,中野市,豊津,ナガノケン,ナカノシ,トヨツ
3892104,長野県,中野市,永江,ナガノケン,ナカノシ,ナガエ
3892200,長野県,飯山市,,ナガノケン,イイヤマシ,
3892251,長野県,飯山市,旭,ナガノケン,イイヤマシ,アサヒ
3892253,長野県,飯山市,飯山,ナガノケン,イイヤマシ,イイヤマ
3892602,長野県,飯山市,一山,ナガノケン,イイヤマシ,イチヤマ
3892415,長野県,飯山市,大池,ナガノケン,イイヤマシ,オオイケ
3892234,長野県,飯山市,木島,ナガノケン,イイヤマシ,キジマ
3892252,長野県,飯山市,小佐原,ナガノケン,イイヤマシ,コザワラ
3892418,長野県,飯山市,寿,ナガノケン,イイヤマシ,コトブキ
3892235,長野県,飯山市,坂井,ナガノケン,イイヤマシ,サカイ
3892255,長野県,飯山市,静間,ナガノケン,イイヤマシ,シズマ
3892232,長野県,飯山市,下木島,ナガノケン,イイヤマシ,シモキジマ
3892242,長野県,飯山市,其綿,ナガノケン,イイヤマシ,ソノワタ
3892601,長野県,飯山市,照岡,ナガノケン,イイヤマシ,テルオカ
3892413,長野県,飯山市,照里,ナガノケン,イイヤマシ,テルサト
3892231,長野県,飯山市,天神堂,ナガノケン,イイヤマシ,テンシンドウ
3892412,長野県,飯山市,常郷,ナガノケン,イイヤマシ,トキサト
3892414,長野県,飯山市,常盤,ナガノケン,イイヤマシ,トキワ
