4220000,静岡県,静岡市葵区,,シズオカケン,シズオカシアオイク,
4220000,静岡県,静岡市駿河区,,シズオカケン,シズオカシスルガク,
4228014,静岡県,静岡市駿河区,青沢,シズオカケン,シズオカシスルガク,アオサワ
4228012,静岡県,静岡市駿河区,安居,シズオカケン,シズオカシスルガク,アゴ
4228031,静岡県,静岡市駿河区,有明町,シズオカケン,シズオカシスルガク,アリアケチョウ
4228005,静岡県,静岡市駿河区,池田,シズオカケン,シズオカシスルガク,イケダ
4228042,静岡県,静岡市駿河区,石田,シズオカケン,シズオカシスルガク,イシダ
4228066,静岡県,静岡市駿河区,泉町,シズオカケン,シズオカシスルガク,イズミチョウ
4228062,静岡県,静岡市駿河区,稲川,シズオカケン,シズオカシスルガク,イナガワ
4228032,静岡県,静岡市駿河区,有東,シズオカケン,シズオカシスルガク,ウトウ
4228075,静岡県,静岡市駿河区,大坪町,シズオカケン,シズオカシスルガク,オオツボチョウ
4228017,静岡県,静岡市駿河区,大谷,シズオカケン,シズオカシスルガク,オオヤ
4228072,静岡県,静岡市駿河区,小黒,シズオカケン,シズオカシスルガク,オグロ
4228021,静岡県,静岡市駿河区,小鹿,シズオカケン,シズオカシスルガク,オシカ
4228022,静岡県,静岡市駿河区,恩田原,シズオカケン,シズオカシスルガク,オンダバラ
4228023,静岡県,静岡市駿河区,片山,シズオカケン,シズオカシスルガク,カタヤマ
4228004,静岡県,静岡市駿河区,国吉田,シズオカケン,シズオカシスルガク,クニヨシダ
4228008,静岡県,静岡市駿河区,栗原,シズオカケン,シズオカシスルガク,クリハラ
4228055,静岡県,静岡市駿河区,寿町,シズオカケン,シズオカシスルガク,コトブキチョウ
4228078,静岡県,静岡市駿河区,さつき町,シズオカケン,シズオカシスルガク,サツキチョウ
4228036,静岡県,静岡市駿河区,敷地,シズオカケン,シズオカシスルガク,シキジ
4228037,静岡県,静岡市駿河区,下島,シズオカケン,シズオカシスルガク,シモジマ
4228064,静岡県,静岡市駿河区,新川,シズオカケン,シズオカシスルガク,シンカワ
4228034,静岡県,静岡市駿河区,高松,シズオカケン,シズオカシスルガク,タカマツ
4228056,静岡県,静岡市駿河区,津島町,シズオカケン,シズオカシスルガク,ツシマチョウ
4228027,静岡県,静岡市駿河区,豊田,シズオカケン,シズオカシスルガク,トヨダ
4228071,静岡県,静岡市駿河区,豊原町,シズオカケン,シズオカシスルガク,トヨハラチョウ
4228033,静岡県,静岡市駿河区,登呂,シズオカケン,シズオカシスルガク,トロ
4228046,静岡県,静岡市駿河区,中島,シズオカケン,シズオカシスルガク,ナカジマ
4228041,静岡県,静岡市駿河区,中田,シズオカケン,シズオカシスルガク,ナカダ
4228043,静岡県,静岡市駿河区,中田本町,シズオカケン,シズオカシスルガク,ナカダホンチョウ
4228051,静岡県,静岡市駿河区,中野新田,シズオカケン,シズオカシスルガク,ナカノシンデン
4228058,静岡県,静岡市駿河区,中原,シズオカケン,シズオカシスルガク,ナカハラ
4228015,静岡県,静岡市駿河区,中平松,シズオカケン,シズオカシスルガク,ナカヒラマツ
4228047,静岡県,静岡市駿河区,中村町,シズオカケン,シズオカシスルガク,ナカムラチョウ
4228001,静岡県,静岡市駿河区,中吉田,シズオカケン,シズオカシスルガク,ナカヨシダ
4228018,静岡県,静岡市駿河区,西大谷,シズオカケン,シズオカシスルガク,ニシオオヤ
4228045,静岡県,静岡市駿河区,西島,シズオカケン,シズオカシスルガク,ニシジマ
4228053,静岡県,静岡市駿河区,西中原,シズオカケン,シズオカシスルガク,ニシナカハラ
4228016,静岡県,静岡市駿河区,西平松,シズオカケン,シズオカシスルガク,ニシヒラマツ
4228044,静岡県,静岡市駿河区,西脇,シズオカケン,シズオカシスルガク,ニシワキ
4228011,静岡県,静岡市駿河区,根古屋,シズオカケン,シズオカシスルガク,ネゴヤ
4228019,静岡県,静岡市駿河区,東静岡,シズオカケン,シズオカシスルガク,ヒガシシズオカ
4228007,静岡県,静岡市駿河区,聖一色,シズオカケン,シズオカシスルガク,ヒジリイッシキ
4228003,静岡県,静岡市駿河区,平沢,シズオカケン,シズオカシスルガク,ヒラサワ
4228026,静岡県,静岡市駿河区,富士見台,シズオカケン,シズオカシスルガク,フジミダイ
4228013,静岡県,静岡市駿河区,古宿,シズオカケン,シズオカシスルガク,フルヤド
4228006,静岡県,静岡市駿河区,曲金,シズオカケン,シズオカシスルガク,マガリカネ
4228063,静岡県,静岡市駿河区,馬渕,シズオカケン,シズオカシスルガク,マブチ
4228025,静岡県,静岡市駿河区,水上,シズオカケン,シズオカシスルガク,ミズカミ
