6570111,兵庫県,神戸市東灘区,本山町森,ヒョウゴケン,コウベシヒガシナダク,モトヤマチョウモリ(748-1バンチ)
6570000,兵庫県,神戸市灘区,,ヒョウゴケン,コウベシナダク,
6570805,兵庫県,神戸市灘区,青谷町,ヒョウゴケン,コウベシナダク,アオタニチョウ
6570821,兵庫県,神戸市灘区,赤坂通,ヒョウゴケン,コウベシナダク,アカサカドオリ
6570061,兵庫県,神戸市灘区,赤松町,ヒョウゴケン,コウベシナダク,アカマツチョウ
6570823,兵庫県,神戸市灘区,天城通,ヒョウゴケン,コウベシナダク,アマギドオリ
6570834,兵庫県,神戸市灘区,泉通,ヒョウゴケン,コウベシナダク,イズミドオリ
6570012,兵庫県,神戸市灘区,一王山町,ヒョウゴケン,コウベシナダク,イチノウサンチョウ
6570803,兵庫県,神戸市灘区,岩屋,ヒョウゴケン,コウベシナダク,イワヤ
6570846,兵庫県,神戸市灘区,岩屋北町,ヒョウゴケン,コウベシナダク,イワヤキタマチ
6570845,兵庫県,神戸市灘区,岩屋中町,ヒョウゴケン,コウベシナダク,イワヤナカマチ
6570856,兵庫県,神戸市灘区,岩屋南町,ヒョウゴケン,コウベシナダク,イワヤミナミマチ
6570103,兵庫県,神戸市灘区,上野,ヒョウゴケン,コウベシナダク,ウエノ(コヤバサンノヤスミガハラ)
6570817,兵庫県,神戸市灘区,上野通,ヒョウゴケン,コウベシナダク,ウエノドオリ
6570042,兵庫県,神戸市灘区,烏帽子町,ヒョウゴケン,コウベシナダク,エボシチョウ
6570838,兵庫県,神戸市灘区,王子町,ヒョウゴケン,コウベシナダク,オウジチョウ
6570843,兵庫県,神戸市灘区,大石北町,ヒョウゴケン,コウベシナダク,オオイシキタマチ
6570043,兵庫県,神戸市灘区,大石東町,ヒョウゴケン,コウベシナダク,オオイシヒガシマチ
6570852,兵庫県,神戸市灘区,大石南町,ヒョウゴケン,コウベシナダク,オオイシミナミマチ
6570833,兵庫県,神戸市灘区,大内通,ヒョウゴケン,コウベシナダク,オオウチドオリ
6570017,兵庫県,神戸市灘区,大月台,ヒョウゴケン,コウベシナダク,オオツキダイ
6570014,兵庫県,神戸市灘区,大土平町,ヒョウゴケン,コウベシナダク,オオドガヒラチョウ
6570055,兵庫県,神戸市灘区,上河原通,ヒョウゴケン,コウベシナダク,カミガワラドオリ
6570057,兵庫県,神戸市灘区,神ノ木通,ヒョウゴケン,コウベシナダク,カミノキドオリ
6570052,兵庫県,神戸市灘区,神前町,ヒョウゴケン,コウベシナダク,カミマエチョウ
6570832,兵庫県,神戸市灘区,岸地通,ヒョウゴケン,コウベシナダク,キシチドオリ
6570034,兵庫県,神戸市灘区,記田町,ヒョウゴケン,コウベシナダク,キダチョウ
6570024,兵庫県,神戸市灘区,楠丘町,ヒョウゴケン,コウベシナダク,クスガオカチョウ
6570816,兵庫県,神戸市灘区,国玉通,ヒョウゴケン,コウベシナダク,クニタマドオリ
6570826,兵庫県,神戸市灘区,倉石通,ヒョウゴケン,コウベシナダク,クライシドオリ
6570025,兵庫県,神戸市灘区,高徳町,ヒョウゴケン,コウベシナダク,コウトクチョウ
6570801,兵庫県,神戸市灘区,五毛,ヒョウゴケン,コウベシナダク,ゴモウ
6570814,兵庫県,神戸市灘区,五毛通,ヒョウゴケン,コウベシナダク,ゴモウドオリ
6570021,兵庫県,神戸市灘区,桜ケ丘町,ヒョウゴケン,コウベシナダク,サクラガオカチョウ
6570036,兵庫県,神戸市灘区,桜口町,ヒョウゴケン,コウベシナダク,サクラグチチョウ
6570044,兵庫県,神戸市灘区,鹿ノ下通,ヒョウゴケン,コウベシナダク,シカノシタドオリ
6570015,兵庫県,神戸市灘区,篠原伯母野山町,ヒョウゴケン,コウベシナダク,シノハラオバノヤマチョウ
6570068,兵庫県,神戸市灘区,篠原北町,ヒョウゴケン,コウベシナダク,シノハラキタマチ
6570016,兵庫県,神戸市灘区,篠原台,ヒョウゴケン,コウベシナダク,シノハラダイ
6570066,兵庫県,神戸市灘区,篠原中町,ヒョウゴケン,コウベシナダク,シノハラナカマチ
6570067,兵庫県,神戸市灘区,篠原本町,ヒョウゴケン,コウベシナダク,シノハラホンマチ
6570059,兵庫県,神戸市灘区,篠原南町,ヒョウゴケン,コウベシナダク,シノハラミナミマチ
6570002,兵庫県,神戸市灘区,篠原,ヒョウゴケン,コウベシナダク,シノハラ(ソノタ)
6570045,兵庫県,神戸市灘区,下河原通,ヒョウゴケン,コウベシナダク,シモガワラドオリ
6570058,兵庫県,神戸市灘区,将軍通,ヒョウゴケン,コウベシナダク,ショウグンドオリ
6570836,兵庫県,神戸市灘区,城内通,ヒョウゴケン,コウベシナダク,シロノウチドオリ
6570804,兵庫県,神戸市灘区,城の下通,ヒョウゴケン,コウベシナダク,シロノシタドオリ
6570864,兵庫県,神戸市灘区,新在家南町,ヒョウゴケン,コウベシナダク,シンザイケミナミマチ
6570861,兵庫県,神戸市灘区,新在家北町,ヒョウゴケン,コウベシナダク,シンザイケキタマチ
6570018,兵庫県,神戸市灘区,水車新田,ヒョウゴケン,コウベシナダク,スイシャシンデン
6570831,兵庫県,神戸市灘区,水道筋,ヒョウゴケン,コウベシナダク,スイドウスジ
6570056,兵庫県,神戸市灘区,千旦通,ヒョウゴケン,コウベシナダク,センタンドオリ
6570063,兵庫県,神戸市灘区,曾和町,ヒョウゴケン,コウベシナダク,ソワチョウ
6570813,兵庫県,神戸市灘区,高尾通,ヒョウゴケン,コウベシナダク,タカオドオリ
6570001,兵庫県,神戸市灘区,高羽,ヒョウゴケン,コウベシナダク,タカハ
