6691161,兵庫県,神戸市北区,道場町生野,ヒョウゴケン,コウベシキタク,ドウジョウチョウイクノ(1172バンチ)
6691122,兵庫県,西宮市,青葉台,ヒョウゴケン,ニシノミヤシ,アオバダイ
6691131,兵庫県,西宮市,清瀬台,ヒョウゴケン,ニシノミヤシ,キヨセダイ
6691135,兵庫県,西宮市,国見台,ヒョウゴケン,ニシノミヤシ,クニミダイ
6691101,兵庫県,西宮市,塩瀬町生瀬,ヒョウゴケン,ニシノミヤシ,シオセチョウナマゼ
6691251,兵庫県,西宮市,塩瀬町名塩,ヒョウゴケン,ニシノミヤシ,シオセチョウナジオ(4205-1、5205、5313-20、5313-33、
6691141,兵庫県,西宮市,塩瀬町名塩,ヒョウゴケン,ニシノミヤシ,シオセチョウナジオ(ソノタ)
6691147,兵庫県,西宮市,名塩,ヒョウゴケン,ニシノミヤシ,ナジオ
6691149,兵庫県,西宮市,名塩赤坂,ヒョウゴケン,ニシノミヤシ,ナジオアカサカ
6691143,兵庫県,西宮市,名塩ガーデン,ヒョウゴケン,ニシノミヤシ,ナジオガーデン
6691136,兵庫県,西宮市,名塩木之元,ヒョウゴケン,ニシノミヤシ,ナジオコノモト
6691146,兵庫県,西宮市,名塩さくら台,ヒョウゴケン,ニシノミヤシ,ナジオサクラダイ
6691142,兵庫県,西宮市,名塩山荘,ヒョウゴケン,ニシノミヤシ,ナジオサンソウ
6691144,兵庫県,西宮市,名塩茶園町,ヒョウゴケン,ニシノミヤシ,ナジオチャエンチョウ
6691148,兵庫県,西宮市,名塩東久保,ヒョウゴケン,ニシノミヤシ,ナジオトウクボ
6691145,兵庫県,西宮市,名塩平成台,ヒョウゴケン,ニシノミヤシ,ナジオヘイセイダイ
6691132,兵庫県,西宮市,名塩南台,ヒョウゴケン,ニシノミヤシ,ナジオミナミダイ
6691162,兵庫県,西宮市,名塩美山,ヒョウゴケン,ニシノミヤシ,ナジオミヤマ
6691134,兵庫県,西宮市,名塩新町,ヒョウゴケン,ニシノミヤシ,ナジオシンマチ
6691103,兵庫県,西宮市,生瀬東町,ヒョウゴケン,ニシノミヤシ,ナマゼヒガシマチ
6691111,兵庫県,西宮市,生瀬高台,ヒョウゴケン,ニシノミヤシ,ナマゼタカダイ
6691102,兵庫県,西宮市,生瀬町,ヒョウゴケン,ニシノミヤシ,ナマゼチョウ
6691104,兵庫県,西宮市,生瀬武庫川町,ヒョウゴケン,ニシノミヤシ,ナマゼムコガワチョウ
6691121,兵庫県,西宮市,花の峯,ヒョウゴケン,ニシノミヤシ,ハナノミネ
6691133,兵庫県,西宮市,東山台,ヒョウゴケン,ニシノミヤシ,ヒガシヤマダイ
6691112,兵庫県,西宮市,宝生ケ丘,ヒョウゴケン,ニシノミヤシ,ホウショウガオカ
