7730070,徳島県,徳島市,大原町,トクシマケン,トクシマシ,オオバラチョウ(コミコ、コミコヤマ)
7730000,徳島県,小松島市,,トクシマケン,コマツシマシ,
7730024,徳島県,小松島市,間新田町,トクシマケン,コマツシマシ,アイシンデンチョウ
7730021,徳島県,小松島市,赤石町,トクシマケン,コマツシマシ,アカイシチョウ
7730014,徳島県,小松島市,江田町,トクシマケン,コマツシマシ,エダチョウ
7730022,徳島県,小松島市,大林町,トクシマケン,コマツシマシ,オオハヤシチョウ
7730007,徳島県,小松島市,金磯町,トクシマケン,コマツシマシ,カナイソチョウ
7730002,徳島県,小松島市,神田瀬町,トクシマケン,コマツシマシ,カンダセチョウ
7730018,徳島県,小松島市,櫛淵町,トクシマケン,コマツシマシ,クシブチチョウ
7730001,徳島県,小松島市,小松島町,トクシマケン,コマツシマシ,コマツシマチョウ
7730023,徳島県,小松島市,坂野町,トクシマケン,コマツシマシ,サカノチョウ
7730009,徳島県,小松島市,芝生町,トクシマケン,コマツシマシ,シボウチョウ
7730012,徳島県,小松島市,田浦町,トクシマケン,コマツシマシ,タウラチョウ
7730017,徳島県,小松島市,立江町,トクシマケン,コマツシマシ,タツエチョウ
7730008,徳島県,小松島市,田野町,トクシマケン,コマツシマシ,タノチョウ
7730015,徳島県,小松島市,中田町,トクシマケン,コマツシマシ,チュウデンチョウ
7730019,徳島県,小松島市,豊浦町,トクシマケン,コマツシマシ,トヨウラチョウ
7730016,徳島県,小松島市,中郷町,トクシマケン,コマツシマシ,ナカノゴウチョウ
7730011,徳島県,小松島市,新居見町,トクシマケン,コマツシマシ,ニイミチョウ
7730010,徳島県,小松島市,日開野町,トクシマケン,コマツシマシ,ヒガイノチョウ
7730004,徳島県,小松島市,堀川町,トクシマケン,コマツシマシ,ホリカワチョウ
7730013,徳島県,小松島市,前原町,トクシマケン,コマツシマシ,マエバラチョウ
7730003,徳島県,小松島市,松島町,トクシマケン,コマツシマシ,マツシマチョウ
7730005,徳島県,小松島市,南小松島町,トクシマケン,コマツシマシ,ミナミコマツシマチョウ
7730006,徳島県,小松島市,横須町,トクシマケン,コマツシマシ,ヨコスチョウ
7730031,徳島県,小松島市,和田島町,トクシマケン,コマツシマシ,ワダジマチョウ(マツダシンデン)
7730025,徳島県,小松島市,和田島町,トクシマケン,コマツシマシ,ワダジマチョウ(ソノタ)
7730020,徳島県,小松島市,和田津開町,トクシマケン,コマツシマシ,ワダツビラキチョウ
7738601,徳島県,小松島市,和田島町字洲端４−３（小松島郵便局私書箱第９号）,トクシマケン,コマツシマシ,
7738501,徳島県,小松島市,横須町１−１,トクシマケン,コマツシマシ,ヨコスチョウ
7738502,徳島県,小松島市,小松島町字井利ノ口１０３,トクシマケン,コマツシマシ,コマツシマチョウ
7738504,徳島県,小松島市,横須町５−２６,トクシマケン,コマツシマシ,ヨコスチョウ
