7920080,愛媛県,今治市,宮窪町四阪島,エヒメケン,イマバリシ,ミヤクボチョウシサカジマ
7920000,愛媛県,新居浜市,,エヒメケン,ニイハマシ,
7920897,愛媛県,新居浜市,阿島乙,エヒメケン,ニイハマシ,アシマオツ
7920896,愛媛県,新居浜市,阿島,エヒメケン,ニイハマシ,アシマ(ソノタ)
7920013,愛媛県,新居浜市,泉池町,エヒメケン,ニイハマシ,イズミイケチョウ
7920021,愛媛県,新居浜市,泉宮町,エヒメケン,ニイハマシ,イズミミヤチョウ
7920002,愛媛県,新居浜市,磯浦町,エヒメケン,ニイハマシ,イソウラチョウ
7920025,愛媛県,新居浜市,一宮町,エヒメケン,ニイハマシ,イックチョウ
7920866,愛媛県,新居浜市,宇高町,エヒメケン,ニイハマシ,ウダカチョウ
7920046,愛媛県,新居浜市,上原,エヒメケン,ニイハマシ,ウワバラ
7920005,愛媛県,新居浜市,江口町,エヒメケン,ニイハマシ,エグチチョウ
7920008,愛媛県,新居浜市,王子町,エヒメケン,ニイハマシ,オウジチョウ
7920015,愛媛県,新居浜市,大江町,エヒメケン,ニイハマシ,オオエチョウ
7920891,愛媛県,新居浜市,大島,エヒメケン,ニイハマシ,オオシマ
7920060,愛媛県,新居浜市,大生院,エヒメケン,ニイハマシ,オオジョウイン
7920047,愛媛県,新居浜市,御蔵町,エヒメケン,ニイハマシ,オクラチョウ
7920883,愛媛県,新居浜市,落神町,エヒメケン,ニイハマシ,オチガミチョウ
7920071,愛媛県,新居浜市,金子丙,エヒメケン,ニイハマシ,カネコヘイ
7920824,愛媛県,新居浜市,上泉町,エヒメケン,ニイハマシ,カミイズミチョウ
7920851,愛媛県,新居浜市,観音原町,エヒメケン,ニイハマシ,カンノンバラチョウ
7920801,愛媛県,新居浜市,菊本町,エヒメケン,ニイハマシ,キクモトチョウ
7920826,愛媛県,新居浜市,喜光地町,エヒメケン,ニイハマシ,キコウジチョウ
7920815,愛媛県,新居浜市,岸の上町,エヒメケン,ニイハマシ,キシノウエチョウ
7920842,愛媛県,新居浜市,北内町,エヒメケン,ニイハマシ,キタウチチョウ
7920004,愛媛県,新居浜市,北新町,エヒメケン,ニイハマシ,キタシンマチ
7920885,愛媛県,新居浜市,清住町,エヒメケン,ニイハマシ,キヨズミチョウ
7920890,愛媛県,新居浜市,楠崎,エヒメケン,ニイハマシ,クッサキ
7920026,愛媛県,新居浜市,久保田町,エヒメケン,ニイハマシ,クボタチョウ
7920892,愛媛県,新居浜市,黒島,エヒメケン,ニイハマシ,クロシマ
7920884,愛媛県,新居浜市,神郷,エヒメケン,ニイハマシ,コウザト
7920006,愛媛県,新居浜市,河内町,エヒメケン,ニイハマシ,コウチチョウ
7920853,愛媛県,新居浜市,光明寺,エヒメケン,ニイハマシ,コウミョウジ
7920854,愛媛県,新居浜市,国領,エヒメケン,ニイハマシ,コクリョウ
7920822,愛媛県,新居浜市,寿町,エヒメケン,ニイハマシ,コトブキチョウ
7920886,愛媛県,新居浜市,郷,エヒメケン,ニイハマシ,ゴウ(チョウメ)
7920895,愛媛県,新居浜市,郷乙,エヒメケン,ニイハマシ,ゴウオツ
7920894,愛媛県,新居浜市,郷,エヒメケン,ニイハマシ,ゴウ(ソノタ)
7920831,愛媛県,新居浜市,西連寺町,エヒメケン,ニイハマシ,サイレンジチョウ
7920812,愛媛県,新居浜市,坂井町,エヒメケン,ニイハマシ,サカイチョウ
7920865,愛媛県,新居浜市,桜木町,エヒメケン,ニイハマシ,サクラギチョウ
7920862,愛媛県,新居浜市,沢津町,エヒメケン,ニイハマシ,サワヅチョウ
7920023,愛媛県,新居浜市,繁本町,エヒメケン,ニイハマシ,シゲモトチョウ
7920855,愛媛県,新居浜市,七宝台町,エヒメケン,ニイハマシ,シッポウダイチョウ
7920864,愛媛県,新居浜市,東雲町,エヒメケン,ニイハマシ,シノノメチョウ
7920836,愛媛県,新居浜市,篠場町,エヒメケン,ニイハマシ,シノバチョウ
7920861,愛媛県,新居浜市,清水町,エヒメケン,ニイハマシ,シミズチョウ
7920813,愛媛県,新居浜市,下泉町,エヒメケン,ニイハマシ,シモイズミチョウ
7920811,愛媛県,新居浜市,庄内町,エヒメケン,ニイハマシ,ショウナイチョウ
7920814,愛媛県,新居浜市,城下町,エヒメケン,ニイハマシ,シロシタチョウ
7920802,愛媛県,新居浜市,新須賀町,エヒメケン,ニイハマシ,シンスカチョウ
7920003,愛媛県,新居浜市,新田町,エヒメケン,ニイハマシ,シンデンチョウ
