9590401,新潟県,新潟市西区,與兵衛野新田,ニイガタケン,ニイガタシニシク,ヨヘエノシンデン
9590501,新潟県,新潟市西蒲区,井随,ニイガタケン,ニイガタシニシカンク,イズイ
9590513,新潟県,新潟市西蒲区,茨島,ニイガタケン,ニイガタシニシカンク,イバラシマ
9590515,新潟県,新潟市西蒲区,今井,ニイガタケン,ニイガタシニシカンク,イマイ
9590507,新潟県,新潟市西蒲区,卯八郎受,ニイガタケン,ニイガタシニシカンク,ウハチロウウケ
9590416,新潟県,新潟市西蒲区,浦村,ニイガタケン,ニイガタシニシカンク,ウラムラ
9590506,新潟県,新潟市西蒲区,遠藤,ニイガタケン,ニイガタシニシカンク,エンドウ
9590415,新潟県,新潟市西蒲区,大潟,ニイガタケン,ニイガタシニシカンク,オオカタ
9590417,新潟県,新潟市西蒲区,大関,ニイガタケン,ニイガタシニシカンク,オオセキ
9590517,新潟県,新潟市西蒲区,大曽根,ニイガタケン,ニイガタシニシカンク,オオゾネ
9590511,新潟県,新潟市西蒲区,大原,ニイガタケン,ニイガタシニシカンク,オオハラ
9590425,新潟県,新潟市西蒲区,押付,ニイガタケン,ニイガタシニシカンク,オシツケ
9590403,新潟県,新潟市西蒲区,貝柄,ニイガタケン,ニイガタシニシカンク,カイガラ
9590404,新潟県,新潟市西蒲区,貝柄新田,ニイガタケン,ニイガタシニシカンク,カイガラシンデン
9590432,新潟県,新潟市西蒲区,川崎,ニイガタケン,ニイガタシニシカンク,カワサキ
9590516,新潟県,新潟市西蒲区,国見,ニイガタケン,ニイガタシニシカンク,クニミ
9590502,新潟県,新潟市西蒲区,熊谷,ニイガタケン,ニイガタシニシカンク,クマガイ
9590412,新潟県,新潟市西蒲区,桑山,ニイガタケン,ニイガタシニシカンク,クワヤマ
9590508,新潟県,新潟市西蒲区,五之上,ニイガタケン,ニイガタシニシカンク,ゴノカミ
9590435,新潟県,新潟市西蒲区,真田,ニイガタケン,ニイガタシニシカンク,サナダ
9590402,新潟県,新潟市西蒲区,三角野新田,ニイガタケン,ニイガタシニシカンク,サンカクノシンデン
9590505,新潟県,新潟市西蒲区,三方,ニイガタケン,ニイガタシニシカンク,サンボウ
9590438,新潟県,新潟市西蒲区,下山,ニイガタケン,ニイガタシニシカンク,シモヤマ
9590514,新潟県,新潟市西蒲区,称名,ニイガタケン,ニイガタシニシカンク,ショウミョウ
9590421,新潟県,新潟市西蒲区,鱸,ニイガタケン,ニイガタシニシカンク,スズキ
9590411,新潟県,新潟市西蒲区,善光寺,ニイガタケン,ニイガタシニシカンク,ゼンコウジ
9590406,新潟県,新潟市西蒲区,善光寺村受,ニイガタケン,ニイガタシニシカンク,ゼンコウジムラウケ
9590422,新潟県,新潟市西蒲区,曽根,ニイガタケン,ニイガタシニシカンク,ソネ
9590434,新潟県,新潟市西蒲区,天竺堂,ニイガタケン,ニイガタシニシカンク,テンジクドウ
9590437,新潟県,新潟市西蒲区,中島,ニイガタケン,ニイガタシニシカンク,ナカジマ
9590436,新潟県,新潟市西蒲区,西汰上,ニイガタケン,ニイガタシニシカンク,ニシヨリアゲ
9590423,新潟県,新潟市西蒲区,旗屋,ニイガタケン,ニイガタシニシカンク,ハタヤ
9590407,新潟県,新潟市西蒲区,旗屋村受,ニイガタケン,ニイガタシニシカンク,ハタヤムラウケ
9590512,新潟県,新潟市西蒲区,番屋,ニイガタケン,ニイガタシニシカンク,バンヤ
9590414,新潟県,新潟市西蒲区,兵右衛門新田,ニイガタケン,ニイガタシニシカンク,ヒョウウエモンシンデン
9590431,新潟県,新潟市西蒲区,平野,ニイガタケン,ニイガタシニシカンク,ヒラノ
9590405,新潟県,新潟市西蒲区,堀上新田,ニイガタケン,ニイガタシニシカンク,ホリアゲシンデン
9590433,新潟県,新潟市西蒲区,槇島,ニイガタケン,ニイガタシニシカンク,マキジマ
9590418,新潟県,新潟市西蒲区,升岡,ニイガタケン,ニイガタシニシカンク,マスオカ
9590413,新潟県,新潟市西蒲区,升潟,ニイガタケン,ニイガタシニシカンク,マスガタ
9590424,新潟県,新潟市西蒲区,松崎,ニイガタケン,ニイガタシニシカンク,マツサキ
9590519,新潟県,新潟市西蒲区,美里,ニイガタケン,ニイガタシニシカンク,ミサト
