9993301,山形県,山形市,山寺,ヤマガタケン,ヤマガタシ,ヤマデラ
9997205,山形県,鶴岡市,温海,ヤマガタケン,ツルオカシ,アツミ
9997312,山形県,鶴岡市,温海川,ヤマガタケン,ツルオカシ,アツミガワ
9997673,山形県,鶴岡市,荒俣,ヤマガタケン,ツルオカシ,アラマタ
9997682,山形県,鶴岡市,新屋敷,ヤマガタケン,ツルオカシ,アラヤシキ
9997207,山形県,鶴岡市,五十川,ヤマガタケン,ツルオカシ,イラガワ
9997635,山形県,鶴岡市,越後京田,ヤマガタケン,ツルオカシ,エチゴキョウデン
9997547,山形県,鶴岡市,大荒,ヤマガタケン,ツルオカシ,オオアラ
9997123,山形県,鶴岡市,大岩川,ヤマガタケン,ツルオカシ,オオイワガワ
9997661,山形県,鶴岡市,大川渡,ヤマガタケン,ツルオカシ,オオカワド
9997543,山形県,鶴岡市,大広,ヤマガタケン,ツルオカシ,オオヒロ
9997316,山形県,鶴岡市,小国,ヤマガタケン,ツルオカシ,オグニ
9997125,山形県,鶴岡市,小名部,ヤマガタケン,ツルオカシ,オナベ
9997461,山形県,鶴岡市,堅苔沢,ヤマガタケン,ツルオカシ,カタノリザワ
9997664,山形県,鶴岡市,上中野目,ヤマガタケン,ツルオカシ,カミナカノメ
9997611,山形県,鶴岡市,上藤島,ヤマガタケン,ツルオカシ,カミフジシマ
9997644,山形県,鶴岡市,川尻,ヤマガタケン,ツルオカシ,カワシリ
9997313,山形県,鶴岡市,木野俣,ヤマガタケン,ツルオカシ,キノマタ
9997646,山形県,鶴岡市,工藤,ヤマガタケン,ツルオカシ,クドウ
9997122,山形県,鶴岡市,小岩川,ヤマガタケン,ツルオカシ,コイワガワ
9997314,山形県,鶴岡市,越沢,ヤマガタケン,ツルオカシ,コエサワ
9997206,山形県,鶴岡市,小菅野代,ヤマガタケン,ツルオカシ,コスガノダイ
9997632,山形県,鶴岡市,小中島,ヤマガタケン,ツルオカシ,コナカジマ
9997462,山形県,鶴岡市,小波渡,ヤマガタケン,ツルオカシ,コバト
9997651,山形県,鶴岡市,鷺畑,ヤマガタケン,ツルオカシ,サギハタ
9997463,山形県,鶴岡市,三瀬,ヤマガタケン,ツルオカシ,サンゼ
9997637,山形県,鶴岡市,下中野目,ヤマガタケン,ツルオカシ,シモナカノメ
9997311,山形県,鶴岡市,菅野代,ヤマガタケン,ツルオカシ,スガノダイ
9997685,山形県,鶴岡市,砂塚,ヤマガタケン,ツルオカシ,スナヅカ
